('L.', 'OF.', 'OE.', 'OF.')
('OF.', 'F.', 'L.', 'OE.')
('F.', 'L.', 'OE.', 'OF.')
('OE.', 'NL.', 'AS.', 'OE.')
('L.', 'F.', 'L.', 'AS.')
('OE.', 'F.', 'F.', 'L.')
('AS.', 'OE.', 'OE.', 'NL.')
('OE.', 'AS.', 'F.', 'OF.')
('F.', 'OF.', 'OE.', 'AS.')
('F.', 'F.', 'L.', 'AS.')
('OF.', 'F.', 'AS.', 'OF.')
('OF.', 'L.', 'L.', 'F.')
('L.', 'F.', 'OE.', 'F.')
('OE.', 'F.', 'OE.', 'OF.')
('OE.', 'NL.', 'L.', 'AS.')
('NL.', 'OE.', 'L.', 'OE.')
('L.', 'AS.', 'OE.', 'NL.')
('L.', 'AS.', 'AS.', 'NL.')
('AS.', 'NL.', 'OE.', 'L.')
('NL.', 'L.', 'AS.', 'OE.')
('F.', 'OE.', 'OF.', 'L.')
('OE.', 'F.', 'L.', 'OF.')
('AS.', 'OE.', 'F.', 'OF.')
('F.', 'OF.', 'L.', 'OE.')
('L.', 'OE.', 'OF.', 'F.')
('F.', 'L.', 'OF.', 'OE.')
('OF.', 'OE.', 'L.', 'OF.')
('F.', 'F.', 'AS.', 'L.')
('OE.', 'F.', 'OF.', 'AS.')
('OF.', 'L.', 'F.', 'L.')
('OF.', 'L.', 'OE.', 'OF.')
('F.', 'L.', 'OF.', 'L.')
('F.', 'OF.', 'OE.', 'F.')
('OF.', 'AS.', 'AS.', 'NL.')
('F.', 'F.', 'AS.', 'OF.')
('OE.', 'F.', 'L.', 'F.')
('OE.', 'OF.', 'OF.', 'OF.')
('L.', 'L.', 'OF.', 'F.')
('OF.', 'OF.', 'OF.', 'L.')
('L.', 'OF.', 'F.', 'AS.')
('OF.', 'OF.', 'L.', 'AS.')
('AS.', 'L.', 'OF.', 'F.')
('OF.', 'OE.', 'NL.', 'L.')
('L.', 'OE.', 'NL.', 'L.')
('L.', 'OF.', 'F.', 'OE.')
('NL.', 'L.', 'OE.', 'OE.')
('F.', 'AS.', 'L.', 'OF.')
('L.', 'L.', 'OE.', 'NL.')
('AS.', 'OF.', 'OE.', 'NL.')
('AS.', 'OE.', 'NL.', 'AS.')
('OE.', 'OE.', 'NL.', 'OE.')
('F.', 'AS.', 'OE.', 'NL.')
('F.', 'OE.', 'OE.', 'NL.')
('NL.', 'L.', 'OE.', 'AS.')
('L.', 'OE.', 'AS.', 'NL.')
('AS.', 'F.', 'OE.', 'NL.')
('F.', 'OE.', 'NL.', 'L.')
('F.', 'OF.', 'AS.', 'F.')
('OE.', 'NL.', 'OE.', 'OE.')
('NL.', 'L.', 'OE.', 'L.')
