, (L
AESCULAPIUS, L
AESOPIAN; ESOPIAN, L
AESOPIC; ESOPIC, L
AESTHESIA, Gr
AESTHESIOMETER; ESTHESIOMETER, Gr
AESTHESIS, Gr
AESTHESODIC, Gr
AESTHETE, Gr
AESTHETICS; ESTHETICS, Gr
AESTHO-PHYSIOLOGY, Gr
AESTIVAL, L
AESTIVATE, L
AESTUOUS, L
AETHEOGAMOUS, Gr
AETHOGEN, Gr
AETHRIOSCOPE, Gr
AETIOLOGY, L
AETITES, L
AFAR, Pref
AFEARD, OE
AFER, L
AFFABILITY, L
AFFABLE, F
AFFABROUS, L
AFFAIR, OE
AFFAMISH, F
AFFATUATE, L
AFFEAR, OE
Af*fect", v. t. [imp. & p. p. Affected; p. pr. & vb. n. Affecting.], L
AFFECT, L
AFFECTATION, L
AFFECTION, F
AFFECTIONATE, Cf
AFFECTIVE, Cf
AFFECTUOUS, L
AFFEER, OF
AFFEERER; AFFEEROR, OF
AFFEERMENT, Cf
AFFERENT, L
AFFETTUOSO, It
AFFIANCE, OE
AFFIANCE, Cf
AFFIANT, From p
AFFIDAVIT, LL
AFFILE, OF
Af*fil"i*ate, v. t. [imp. & p. p. Affiliated; p. pr. & vb. n., LL
AFFILIATION, F
AFFINAL, L
AFFINE, F
AFFINED, OF
AFFINITY, OF
Af*firm", v. t. [imp. & p. p. Affirmed; p. pr. & vb. n. Affirming.], OE
AFFIRMANCE, Cf
AFFIRMANT, L
AFFIRMATION, L
AFFIRMATIVE, L
Af*fix", v. t. [imp. & p. p. Affixed; p. pr. & vb. n. Affixing.], LL
AFFIX, L
AFFIXION, L
AFFLATION, L
AFFLATUS, L
Af*flict", v. t. [imp. & p. p. Afflicted; p. pr. & vb. n., L
AFFLICT, L
AFFLICTION, F
AFFLICTIVE, Cf
AFFLUENCE, F
AFFLUENT, Cf
AFFLUX, L
AFFORCE, OF
AFFORCEMENT, OF
Af*ford", v. t. [imp. & p. p. Afforded; p. pr. & vb. n. Affording.], OE
AFFOREST, LL
AFFRANCHISE, F
AFFRANCHISEMENT, Cf
AFFRAP, Cf
AFFRAY, OE
AFFRAY, OE
AFFREIGHT, Pref
AFFREIGHTMENT, Cf
AFFRET, Cf
AFFRICTION, L
Af*fright", v. t. [imp. & p. p. Affrighted; p. pr. & vb. n., Orig
Af*front", v. t. [imp. & p. p. Affronted; p. pr. & vb. n., OF
AFFRONT, Cf
AFFRONTE, F
Af*fuse", v. t. [imp. & p. p. Affused; p. pr. & vb. n. Affusing.], L
AFFUSION, Cf
AFFY, OF
AFIELD, Pref
AFIRE, Pref
AFLAME, Pref
AFLAT, Pref
AFLAUNT, Pref
AFLICKER, Pref
AFLOAT, Pref
AFLOW, Pref
AFLUSH, Pref
AFLUSH, Pref
AFLUTTER, Pref
AFOAM, Pref
AFOOT, Pref
AFORE, OE
A FORTIORI, L
AFOUL, Pref
AFRAID, OE
AFRESH, Pref
AFRICAN, L
AFRIT; AFRITE; AFREET, Arab
AFRONT, Pref
AFT, AS
AFTER, AS
AFTERMATH, After + math
AFTERMOST, OE
AFTERWARDS; AFTERWARD, AS
AGA; AGHA, Turk
AGAIN, OE
AGAINST, OE
AGALACTIA; AGALAXY, Gr
AGALLOCH; AGALLOCHUM, Gr
AGALMATOLITE, Gr
AGAMA, From the Caribbean name of a species
AGAMI, F
AGAMIC, Agamous
AGAMIST, See Agamous
AGAMOGENESIS, Gr
AGAMOUS, Gr
AGANGLIONIC, Pref
AGAPE, Pref
AGAPE, Gr
AGAR-AGAR, Ceylonese local name
AGARIC, L
AGASP, 
AGASTRIC, Gr
AGATE, Pref
AGATE, F
AGATIFEROUS, Agate + -ferous
AGATIZE, Usually p
AGAVE, L
AGAZED, Only in p
AGE, OF
AGENCY, agentia, fr
AGENDUM, L
AGENESIC, See Agensis
AGENESIS, Gr
AGENNESIS, Gr
AGENT, L
AGERATUM, NL
AGGENERATION, L
AGGER, L
AGGERATE, L
AGGERATION, L
AGGEST, L
Ag*glom"er*ate, v. t. [imp. & p. p. Agglomerated; p. pr. & vb. n., L
AGGLOMERATION, Cf
AGGLUTINANT, L
Ag*glu"ti*nate, v. t. [imp. & p. p. Agglutinated; p. pr. & vb. n., L
AGGLUTINATION, Cf
AGGLUTINATIVE, Cf
AGGRACE, Pref
Ag"gran*dize, v. t. [imp. & p. p. Aggrandized; p. pr. & vb. n., F
AGGRANDIZEMENT, Cf
AGGRATE, It
Ag"gra*vate, v. t. [imp. & p. p. Aggravated; p. pr. & vb. n., L
AGGRAVATION, LL
AGGRESSOR, L
AGGRIEVANCE, OF
Ag*grieve", v. t. [imp. & p. p. Aggrieved; p. pr. & vb. n., OE
Ag*group", v. t. [imp. & p. p. Aggrouped; p. pr. & vb. n., F
AGHAST, OE
AGIBLE, Cf
AGILE, F
AGILITY, F
AGIO, It
AGIOTAGE, F
AGIST, OF
AGISTATOR, LL
AGISTER; AGISTOR, Anglo-Norman agistour
AGISTMENT, OF
AGITABLE, L
Ag"i*tate, v. t. [imp. & p. p. Agitated; p. pr. & vb. n. Agitating.], L
AGITATION, L
AGITATO, It
AGITATOR, L
AGLEAM, Pref
AGLET; AIGLET, F
AGLIMMER, Pref
AGLITTER, Pref
AGLOSSAL, Gr
AGLOW, Pref
AGLUTITION, Pref
AGMINAL, L
AGMINATE; AGMINATED, L
AGNAIL, AS
AGNATE, L
AGNATE, Cf
AGNATIC, Cf
AGNATION, L
AGNITION, L
AGNIZE, Formed like recognize, fr
AGNOIOLOGY, Gr
AGNOMEN, L
AGNOMINATION, L
AGNOSTIC, Gr
AGNUS, L
AGNUS CASTUS, Gr
AGNUS DEI, L
AGO, OE
AGOG, Cf
AGOING, Pref
AGON, Gr
AGONE, See Agonic
AGONIC, Gr
AGONISM, Gr
AGONIST, Gr
AGONISTIC; AGONISTICAL, Gr
Ag"o*nize, v. i. [imp. & p. p. Agonized; p. pr. & vb. n. Agonizing.], F
AGONOTHETE, Gr
AGONOTHETIC, Gr
AGONY, L
Ag"o*ny, n.; pl. Agonies. Etym: [L. agonia, Gr. agonie. See, 
A-GOOD, Pref
AGORA, Gr
AGOUARA, Native name
AGOUTA, Native name
AGOUTI; AGOUTY, F
AGRAFFE, F
AGRAMMATIST, Gr
AGRAPHIA, Gr
AGRAPPES, OF
AGRARIAN, L
AGRE; AGREE, F
AGREE, 
AGREEABILITY, OF
AGREEABLE, F
AGREEMENT, Cf
AGRESTIC, L
AGRICOLATION, L
AGRICULTOR, L
AGRICULTURE, L
AGRIEF, Pref
AGRIMONY, OE
AGRIN, Pref
AGRIOLOGY, Gr
AGRISE, AS
AGROM, Native name
AGRONOMIC; AGRONOMICAL, Cf
AGRONOMY, Gr
AGROPE, Pref
AGROSTIS, L
AGROSTOGRAPHIC; AGROSTOGRAPHICAL, Cf
AGROSTOGRAPHY, Gr
AGROSTOLOGY, Gr
AGROUND, Pref
AGRYPNOTIC, Gr
AGUARDIENTE, Sp
AGUE, OE
AGUISE, Pref a- + guise
AGUSH, Pref
AGYNOUS, Gr
AH, OE
AHA, Ah, interj
AHEAD, Pref
AHEAP, Pref
AHEIGHT, Pref
AHOLD, Pref
AHOY, OE
AHRIMAN, Per
AHU, Native name
AHULL, Pref
AHUNGERED, Pref
AI, Braz
AIBLINS; ABLINS, See Able
AID, F
AID, F
AIDANCE, Cf
AIDANT, Cf
AID-DE-CAMP, F
AIGRE, F
AIGREMORE, F
AIGRET; AIGRETTE, F
AIGUILLE, F
AIGUILLETTE, F
AIL, OE
AILANTUS, From aylanto, i
AILETTE, F
AILUROIDEA, NL
AIM, OE
AIM, Cf
AINO, Said to be the native name for man
AIR, OE
AIR, See
AIROMETER, Air + -meter
AIR POISE, See Poise
AISLE, OF
AIT, AS
AITCHBONE, For nachebone
AJAR, OE
AJAR, Pref
AJOG, Pref
AJUTAGE, F
AKIMBO, Etymology unknown
AKIN, Pref
AKINESIA, Gr
AL-, AS
, L
ALA, L
ALABASTER, L
ALABASTRUM, NL
ALACK, Prob
ALACKADAY, For alack the day
ALACRIFY, L
ALACRIOUS, L
ALACRITY, L
ALADINIST, From Aladin, for Ala Eddin, i
ALAMIRE, Compounded of a la mi re, names of notes in the
ALAMODE, F
ALAMORT, F
ALAN, OF
ALAND, Pref
ALANINE, Aldehyde + the ending -ine
ALANTIN, G
ALAR, L
ALARM, F
A*larm", v. t. [imp. & p. p. Alarmed; p. pr. & vb. n. Alarming.], Alarm, n
ALARMIST, Cf
ALARUM, OE
ALARY, L
ALAS, OE
ALATE, Pref
ALATE; ALATED, L
ALATERN; ALATERNUS, L
ALATION, F
ALB, OE
ALBAN, L
ALBATA, L
ALBATROSS, Corrupt
ALBE; ALBEE, See Albeit
ALBEDO, L
ALBEIT, OE
ALBERTYPE, From the name of the inventor, Albert, of
ALBESCENT, L
ALBICANT, L
ALBICORE, F
ALBIFICATION, Cf
ALBIGENSES; ALBIGEOIS, From Albi and Albigeois, a
ALBINO, Sp
ALBION, Prob
ALBITE, L
ALBOLITH, L
ALBORAK, Ar
ALBUGINEOUS, See Albugo
ALBUGO, L
ALBUM, L
ALBUMEN, L
ALBUM GRAECUM, L
ALBUMINIFEROUS, L
ALBUMINIMETER, L
ALBUMINIPAROUS, L
ALBUMINOID, L
ALBUMINOUS; ALBUMINOSE, Cf
ALBUMINURIA, NL
ALBUMOSE, From albumin
ALBURN, L
ALBURNUM, L
ALBYN, See Albion
ALCAIC, L
ALCAID; ALCAYDE, Sp
ALCALDE, Sp
ALCANNA, Sp
ALCARRAZA, Sp
ALCAZAR, fr
ALCEDO, L
ALCHEMIC; ALCHEMICAL, Cf
ALCHEMIST, Cf
ALCHEMY, OF
ALCOHOL, Cf
ALCOHOLATE, Cf
ALCOHOLATURE, Cf
ALCOHOLIC, Cf
ALCOHOLISM, Cf
ALCOHOLIZATION, Cf
Al"co*hol*ize, v. t. [imp. & p. p. Alcoholized; p. pr. & vb. n., Cf
ALCOHOLOMETER; ALCOHOLMETER, Alcohol + -meter
ALCORAN, alcoran, fr
ALCOVE, F
ALCYONACEA, NL
ALCYONARIA, NL
ALCYONES, L
ALCYONIUM, Gr
ALCYONOID, Gr
ALDEBARAN, Ar
ALDEHYDE, Abbrev
ALDER, OE
ALDER; ALLER, From ealra, alra, gen
ALDER-LIEFEST, For allerliefest dearest of all
ALDERMAN, AS
ALE, AS
ALEAK, Pref
ALEATORY, L
ALEBERRY, OE
ALECITHAL, Gr
ALECONNER, /Ale + con, OE
ALECOST, Ale + L
ALECTORIDES, NL
ALECTOROMACHY, Gr
ALECTRYOMACHY, Gr
ALECTRYOMANCY, Gr
ALEE, Pref
ALEGAR, Ale + eager sour, F
ALEGER, F
ALEGGE, OE
ALEHOOF, AS
ALEMBIC, F
ALEMBROTH, Origin uncertain
ALENGTH, Pref
ALEPIDOTE, Gr
ALERT, F
ALETHIOLOGY, Gr
ALETHOSCOPE, Gr
ALEUROMANCY, Gr
ALEUROMETER, Gr
ALEURONE, Gr
ALEUTIAN; ALEUTIC, Said to be from the Russ
ALEVIN, F
ALEWIFE, This word is properly aloof, the
America, "Phil Trans." No. 142, p. 1065, and Baddam's "Memoirs," vol., (Zoöl
ALEXANDERS; ALISANDERS, OE
ALEXANDRINE, F
ALEXIPHARMAC; ALEXIPHARMACAL, See
ALEXIPHARMIC; ALEXIPHARMICAL, Gr
ALEXIPYRETIC, Gr
ALEXITERIC, Gr
ALEXITERIC; ALEXITERICAL, Gr
ALFALFA, Sp
ALFERES, Sp
ALFET, LL
ALFRESCO, It
ALGA, L
ALGAROBA, Sp
ALGAROT; ALGAROTH, F
ALGATE; ALGATES, All + gate way
ALGAZEL, Ar
ALGEBRA, LL
ALGID, L
ALGIFIC, L
ALGOID, L
ALGOL, Ar
ALGOLOGY, L
ALGOR, L
ALGORISM; ALGORITHM, OE
ALGOUS, L
ALGUAZIL, Sp
ALHAMBRA, Ultimately fr
ALIAS, L
ALIAS, L
A"li*as, n.; pl. Aliases. Etym: [L., otherwise, at another, (Law)
ALIBI, L
ALIBLE, L
ALIDADE, LL
ALIEN, OF
ALIEN, F
ALIENABLE, Cf
ALIENAGE, Cf
ALIENATE, L
ALIENATION, F
ALIENIST, F
ALIENOR, OF
ALIETHMOID; ALIETHMOIDAL, L
ALIFE, Cf
ALIFEROUS, L
ALIFORM, L
ALIGEROUS, L
A*light", v. i. [imp. & p. p. Alighted sometimes Alit; p. pr. & vb., OE
ALIGHT, Pref
ALIGN, F
ALIGNMENT, F
ALIKE, AS
ALIKE, AS
ALIMENT, L
ALIMENTARY, L
ALIMENTATION, Cf
ALIMONY, L
ALINASAL, L
ALIOTH, Ar
ALIPED, L
ALIQUANT, L
ALIQUOT, L
ALISEPTAL, L
ALISPHENOID; ALISPHENOIDAL, L
ALITRUNK, L
ALITURGICAL, Pref
ALIUNDE, L
ALIVE, OE
ALIZARI, Perh
ALIZARIN, F
ALKAHEST, LL
ALKALAMIDE, Alkali + amide
ALKALESCENT, Cf
ALKALI, F
ALKALIFIABLE, Cf
Al"ka*li*fy, v. t. [imp. & p. p. Alkalified; p. pr. & vb. n., Alkali + -fly: cf
ALKALIMETER, Alkali + -meter
ALKALIMETRY, Cf
ALKALINE, Cf
ALKALIZATION, Cf
Al"ka*lize, v. t. [imp. & p. p. Alkalized; p. pr. & vb. n., Cf
ALKALOID; ALKALOIDAL, Alkali + -oid: cf
ALKANET, Dim
ALKARGEN, Alkarsin + oxygen
ALKARSIN, Alkali + arsenic + -in
ALKEKENGI, Cf
ALKERMES, Ar
ALL, OE
ALL, Orig
ALLA BREVE, It
ALLAH, contr
ALLANITE, From T
ALLANTOIC, Cf
ALLANTOID; ALLANTOIDAL, Gr
ALLANTOIDEA, NL
ALLATRATE, L
Al*lay", v. t. [imp. & p. p. Allayed; p. pr. & vb. n. Allaying.], OE
ALLECRET, OF
ALLECT, L
ALLECTATION, L
ALLECTIVE, LL
ALLEGATION, L
Al*lege", v. t. [imp. & p. p. Alleged; p. pr. & vb. n. Alleging.], OE
ALLEGE, See Allay
ALLEGIANCE, OE
ALLEGORIC; ALLEGORICAL, F
ALLEGORIST, Cf
Al"le*go*rize, v. t. [imp. & p. p. Allegorized; p. pr. & vb. n., Cf
ALLEGORY, L
ALLEGRESSE, F
ALLEGRETTO, It
ALLEGRO, It
ALLELUIA; ALLELUIAH, L
ALLEMANDE, F
ALLENARLY, All + anerly singly, fr
ALLER, For ealra, the AS
ALLERION, F
Al*le"vi*ate, v. t. [imp. & p. p. Alleviated; p. pr. & vb. n., LL
ALLEVIATION, LL
ALLEY, OE
ALLEY, A contraction of alabaster, of which
ALLFOURS, All + four (cards)
ALL FOURS, formerly, All` four"
ALL HAIL, All + hail, interj
ALLHALLOWTIDE, AS
ALLIANCE, OE
ALLIANT, Cf
ALLICIENT, L
ALLIGATE, L
ALLIGATION, L
ALLIGATOR, Sp
ALLINEATE, L
ALLISION, L
ALLITERATION, L
ALLIUM, L
ALLOCATE, LL
ALLOCATION, LL
ALLOCATUR, LL
ALLOCHROOUS, Gr
ALLOCUTION, L
ALLODIAL, LL
ALLODIUM, LL
ALLOGAMY, Gr
ALLOGENEOUS, Gr
ALLOGRAPH, Gr
ALLOMERISM, Gr
ALLOMORPH, Gr
ALLONGE, F
ALLONGE, F
ALLONYM, F
ALLOO, See Halloo
ALLOPATH, Cf
ALLOPATHIC, Cf
ALLOPATHY, Gr
ALLOPHYLIC; ALLOPHYLIAN, Gr
ALLOQUY, L
Al*lot", v. t. [imp. & p. p. Allotted; p. pr. & vb. n. Allotting.], OF
ALLOTHEISM, Gr
ALLOTMENT, Cf
ALLOTRIOPHAGY, Gr
ALLOTROPIC; ALLOTROPICAL, Cf
ALLOTROPISM; ALLOTROPY, Gr
Al*low", v. t. [imp. & p. p. Allowed; p. pr. & vb. n. Allowing.], OE
ALLOWABLE, F
ALLOWANCE, OF
ALLOWANCE, See Allowance,
ALLOXAN, Allantoin + oxalic, as containing the elements
ALLOY, OE
Al*loy", v. t. [imp. & p. p. Alloyed; p. pr. & vb. n. Alloying.], F
ALLOYAGE, F
ALLTHING, For in all (= every) thing
Al*lude", v. i. [imp. & p. p. Alluded; p. pr. & vb. n. Alluding.], L
ALLUMETTE, F
ALLUMINOR, OF
Al*lure", v. t. [imp. & p. p. Alluded; p. pr. & vb. n. Alluring.], OF
ALLURE, F
ALLUSION, L
ALLUVIAL, Cf
ALLUVION, F
ALLUVIOUS, L
ALLUVIUM, L
ALLY, 
ALLY, See Ally, v
ALLYL, L
ALMADIA; ALMADIE, F
ALMAGEST, F
ALMAGRA, Sp
ALMAIN; ALMAYNE; ALMAN, OF
ALMA MATER, L
ALMANAC, LL
ALMANDINE, LL
ALME; ALMEH, Ar
ALMENDRON, Sp
ALMIGHTY, AS
ALMOND, OE
ALMOND FURNACE, Prob
ALMONER, OE
ALMONRY, OF
ALMOST, AS
ALMS, OE
ALMUCANTAR, F
ALMUDE, Pg
ALMUG; ALGUM, Heb
ALNAGE, OF
ALNAGER, See Alnage
ALOE, L
ALOETIC, Cf
ALOFT, Pref
ALOGIAN, LL
ALOGY, L
ALOMANCY, Gr
ALONE, All + one
ALONG, OE
ALONG, AS
ALONGST, Formed fr
ALOOF, Pref
ALOPECIA; ALOPECY, L
ALOSE, OE
ALOSE, F
ALOUATTE, Of uncertain origin
ALOUD, Pref
ALOW, Pref
ALP, L
ALPACA, Sp
ALPENSTOCK, G
ALPESTRINE, L
ALPHA, L
ALPHABET, L
ALPHABETIC; ALPHABETICAL, Cf
AL-PHITOMANCY, Gr
ALPIGENE, L
ALPINE, L
ALPIST; ALPIA, F
ALQUIFOU, Equiv
ALREADY, All (OE
AL SEGNO, It
ALSIKE, From Alsike, in Sweden
ALSO, All + so
ALT, See Alto
ALTAIAN; ALTAIC, Cf
ALTAR, OE
ALTARAGE, Cf
ALTARIST, Cf
ALTAZIMUTH, Alltude + azimuth
ALTER, 
ALTERABILITY, Cf
ALTERABLE, Cf
ALTERANT, LL
ALTERATION, Cf
ALTERATIVE, L
Al"ter*cate, v. i. [imp. & p. p. Altercated; p. pr. & vb. n., L
ALTERCATION, F
ALTERITY, F
ALTERN, L
ALTERNANT, L
ALTERNATE, L
Al"ter*nate, v. t. [imp. & p. p. Alternated; p. pr. & vb. n., L
ALTERNATION, L
ALTERNATIVE, Cf
ALTERNATIVE, Cf
ALTERNITY, LL
ALTHAEA; ALTHEA, althaea, Gr
, Alt + horn
ALTHOUGH, All + though; OE
ALTILOQUENT, L
ALTIMETER, LL
ALTIMETRY, Cf
ALTISCOPE, L
ALTISONANT, L
ALTISONOUS, L
ALTISSIMO, It
ALTITUDE, L
ALTIVOLANT, L
ALTO, It
ALTOGETHER, OE
ALTOMETER, L
ALTO-RILIEVO, It
ALTRICES, L
ALTRUISM, F
ALTRUISTIC, Cf
ALUDEL, F
ALULA, NL
ALUM, OE
ALUMEN, L
ALUMINA, L
ALUMINE, F
ALUMINIFEROUS, L
ALUMINIFORM, L
ALUMINIUM, L
ALUMINOUS, L
ALUMNA, L
ALUMNUS, L
ALUNOGEN, F
ALURE, OF
ALUTACEOUS, L
ALUTATION, See Alutaceous
ALVEARY, L
ALVEATED, L
ALVEOLAR, L
ALVEOLATE, L
ALVEOLIFORM, L
ALVEOLUS, L
ALVEUS, L
ALVINE, L
ALWAYS, All + way
ALYSSUM, NL
AM, AS
AMABILITY, L
AMACRATIC, Gr
AMADAVAT, Indian name
AMADOU, F
AMAIN, Pref
AMAIN, F
AMALGAM, F
AMALGAM, Cf
AMALGAMATION, Cf
AMANDINE, F
AMANITINE, Gr
AMANUENSIS, L
AMARACUS, L
AMARANTH, L
AMARINE, L
AMARITUDE, L
AMARYLLIS, L
A*mass", v. t. [imp. & p. p. Amassed; p. pr. & vb. n. Amassing.], F
AMASS, OF
AMASSETTE, F
AMASSMENT, Cf
AMASTHENIC, Gr
AMATE, OF
AMATE, Pref
AMATEUR, F
AMATIVE, L
AMATORIAL, See Amatorious
AMATORIOUS, L
AMAUROSIS, Gr
AMAZE, 
AMAZON, L
AMAZONITE; AMAZON STONE, Named from the river
AMB-; AMBI-, L
AMBAGES, L
AMBAGIOUS, L
AMBASSADE; EMBASSADE, F
AMBASSADOR; EMBASSADOR, See Embassador
AMBER, OE
AMBERGRIS, F
AMBIDEXTER, LL
AMBIENT, L
AMBIGENOUS, L
AMBIGU, F
AMBIGUITY, L
AMBIGUOUS, L
AMBILEVOUS, L
AMBIPAROUS, L
AMBIT, L
AMBITION, F
AMBITION, Cf
AMBITIOUS, L
AMBITUS, L
AMBLE, 
AMBLOTIC, Gr
AMBLYGON, Gr
AMBLYOPIA; AMBLYOPY, Gr
AMBLYPODA, NL
AMBO, LL
AMBREIN, Cf
AMBRITE, From amber
AMBROSIA, L
AMBROSIAC, L
AMBROSIAL, L
AMBROSIN, LL
AMBROTYPE, Gr
AMBRY, OE
AMBS-ACE, OF
AMBULACRIFORM, Ambulacrum + -form] (Zoöl
AMBULACRUM, L
AMBULANCE, F
AMBULANT, L
AMBULATE, L
AMBULATION, L
AMBULATORY, L
AMBULATORY, Cf
AMBUSCADE, F
AMBUSH, F
Am"bush, v. t. [imp. & p. p. Ambushed; p. pr. & vb. n. Ambushing.], OE
AMBUSHMENT, OF
AMBUSTION, L
AMEER; AMIR, See Emir
AMEL, OE
AMEL, OE
AMELCORN, Ger
A*mel"io*rate, v. t. [imp. & p. p. Ameliorated; p. pr. & vb. n., L
AMELIORATION, Cf
AMEN, L
AMENABLE, F
AMENAGE, OF
AMENANCE, OF
A*mend", v. t. [imp. & p. p. Amended; p. pr. & vb. n. Amending.], F
AMENDE, F
AMENDMENT, F
AMENDS, F
AMENITY, F
AMENORRHOEA, Gr
A MENSA ET THORO, L
AMENT, L
AMENTACEOUS, LL
AMENTIA, L
AMENTIFEROUS, L
AMENTIFORM, L
AMENUSE, OF
A*merce", v. t. [imp. & p. p. Amerced; p. pr. & vb. n. Amercing.], OF
AMERCEMENT, OF
AMERCIAMENT, LL
AMERICAN, Named from Americus Vespucius
AMETABOLA, NL
AMETABOLIAN, Gr
AMETHODIST, Pref
AMETHYST, F
AMETHYSTINE, L
AMETROPIA, Gr
AMIA, L
AMIABLE, F
AMIANTHIFORM, Amianthus + -form
AMIANTHOID, Amianthus + -oid: cf
AMIANTHUS, L
AMIC, L
AMICABLE, L
AMICE, OE
AMICE, OE
AMIDE, Ammonia + -ide
AMIDIN, Cf
AMIDO, From Amide
AMIDOGEN, Amide + -gen
AMIDST; AMID, OE
AMINE, Ammonia + -ine
AMIOIDEI, NL
AMISS, Pref
AMISSIBILITY, Cf
AMISSIBLE, L
AMISSION, L
AMIT, L
AMITY, F
AMMA, LL
AMMITE, Gr
AMMODYTE, L
AMMONIA, From sal ammoniac, which was first obtaining
which the vapor of ammonia is used as the motive force., L
AMMONIAC; GUM AMMONIAC, L
AMMONITE, L
AMMONITIFEROUS, Ammonite + -ferous
AMMONITOIDEA, NL
AMMONIUM, See Ammonia
AMMUNITION, F
AMNESIA, NL
AMNESTY, L
AMNICOLIST, L
AMNIGENOUS, L
AMNION, Gr
AMNIOTA, NL
AMNIOTIC, Cf
AMOEBA, NL
AMOEBAEUM, L
AMOEBEA, NL
AMOEBIFORM; AMOEBOID, Amoeba + -form or -oid
AMOLITION, L
AMOMUM, L
AMONG; AMONGST, OE
AMONTILLADO, Sp
AMORET, OF
AMORIST, L
A-MORNINGS, See Amorwe
AMOROSA, It
AMOROSO, It
AMOROSO, It
AMOROUS, OF
AMORPHA, Gr
AMORPHISM, See Amorphous
AMORPHOUS, Gr
AMORPHOZOA, NL
AMORPHY, Gr
AMORT, Pref
AMORTIZABLE, Cf
AMORTIZATION, LL
AMORTIZE, OE
AMORTIZEMENT, F
AMORWE, Pref
AMOTION, L
AMOTUS, L
A*mount", v. i. [imp. & p. p. Amounted; p. pr. & vb. n. Amounting.], OF
AMOUR, F
AMOUR PROPRE, F
AMOVABLE, Cf
AMOVE, L
AMOVE, OE
AMPELITE, L
AMPERE; AMPERE, From the name of a French electrician
AMPEREMETER; AMPEROMETER, Ampère + meter
AMPERSAND, A corruption of and, per se and, i
AMPHI-, Gr
AMPHIARTHRODIAL, Pref
AMPHIARTHROSIS, NL
AMPHIASTER, NL
AMPHIBIA, See Amphibium
AMPHIBIOLOGY, Gr
AMPHIBIOTICA, NL
AMPHIBIOUS, Gr
AMPHIBIUM, NL
AMPHIBLASTIC, Gr
AMPHIBOLE, Gr
AMPHIBOLOGY, L
AMPHIBOLOUS, L
AMPHIBOLY, L
AMPHIBRACH, L
AMPHICARPIC; AMPHICARPOUS, Gr
AMPHICHROIC, Gr
AMPHICOELIAN; AMPHICOELOUS, Gr
AMPHICOME, Gr
AMPHICTYONIC, Gr
AMPHICTYONS, L
AMPHICTYONY, Gr
AMPHID, Gr
AMPHIDISC, Gr
AMPHIDROMICAL, Gr
AMPHIGAMOUS, Gr
AMPHIGEAN, Gr
AMPHIGEN, Gr
AMPHIGENESIS, Gr
AMPHIGONOUS, Gr
AMPHIGORIC, See Amphigory
AMPHIGORY, F
AMPHILOGISM; AMPHILOGY, Gr
AMPHIMACER, L
AMPHINEURA, NL
AMPHIOXUS, NL
AMPHIPNEUST, Gr
AMPHIPODA, NL
AMPHIPROSTYLE, L
AMPHIRHINA, NL
AMPHISBAENA, L
AMPHISBAENOID, NL
AMPHISCII; AMPHISCIANS, Gr
AMPHISTOMOUS, Gr
AMPHISTYLIC, Gr
AMPHITHEATER; AMPHITHEATRE, L
AMPHITHEATRAL, L
AMPHITHEATRIC; AMPHITHEATRICAL, L
AMPHITROCHA, NL
AMPHITROPAL; AMPHITROPOUS, Gr
AMPHOPEPTONE, Gr
AMPHORA, L
AMPHORAL, L
AMPHOTERIC, Gr
AMPLE, F
AMPLECTANT, L
AMPLEXATION, L
AMPLEXICAUL, L
AMPLIATE, L
AMPLIATION, L
AMPLIFICATE, L
AMPLIFICATION, L
Am"pli*fy, v. t. [imp. & p. p. Amplified; p. pr. & vb. n., F
AMPLITUDE, L
AMPUL, AS
AMPULLA, L
AMPULLACEOUS, L
AMPULLIFORM, Ampulla + -form
Am"pu*tate, v. t. [imp. & p. p. Amputated; p. pr. & vb. n., L
AMPUTATION, L
AMPYX, Gr
AMRITA, Skr
AMSEL; AMZEL, Ger
AMUCK, Malay amoq furious
AMULET, L
AMURCOUS, LL
AMUSABLE, Cf
AMUSE, 
AMUSEMENT, Cf
AMUSETTE, F
AMY, F
AMYELOUS, Gr
AMYGDALATE, L
AMYGDALIFEROUS, L
AMYGDALINE, L
AMYGDALOID, Gr
AMYL, L
AMYLACEOUS, L
AMYLOBACTER, L
AMYLOID; AMYLOIDAL, L
AMYLOLYTIC, Gr
AMYOUS, Gr
AN, AS
AN, Shortened fr
ANA-, /Gr
ANA, Gr
ANA, The neut
ANABAPTISM, L
ANABAPTIST, LL
ANABAPTIZE, Gr
ANABAS, Gr
ANABASIS, Gr
ANABATIC, Gr
ANABOLIC, Gr
ANACAMPTIC, Gr
ANACANTHINI; ANACANTHS, NL
ANACARDIUM, NL
ANACATHARTIC, Gr
ANACHARIS, NL
ANACHORISM, Gr
ANACHRONISM, Gr
ANACHRONIZE, Gr
ANACLASTIC, Gr
ANACOENOSIS, Gr
ANACOLUTHON, Gr
ANACONDA, Of Ceylonese origin] (Zoöl
ANACREONTIC, L
ANACROTISM, Gr
ANACRUSIS, Gr
ANADEM, L
ANADIPLOSIS, L
ANADROM, Cf
ANADROMOUS, Gr
ANAEMIA, NL
ANAEROBIES, Gr
ANAESTHESIA, NL
ANAGLYPH, Gr
ANAGLYPTIC, L
ANAGLYPTOGRAPH, Gr
ANAGLYPTOGRAPHY, Gr
ANAGNORISIS, Latinized fr
ANAGOGE, Gr
ANAGRAM, F
